Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
ALVIEW-DAIRYLAND UNION ELEMENTARY,California,602360,5617
ALVIN C. YORK AGRICULTURAL INSTITUTE,Tennessee,4700144,0
ALVIN ISD,Texas,4808090,6649
ALVINA ELEMENTARY,California,602370,†
ALVORD ISD,Texas,4808100,6492
ALVORD UNIFIED,California,602430,7120
ALWOOD CUSD 225,Illinois,1703660,7379
ALXNDR/JCKSN/PULSK/PRRY/UNION ROE,Illinois,1700190,†
ALZADA ELEM,Montana,3001950,8500
AMADOR COUNTY OFFICE OF EDUCATION,California,691001,33532
AMADOR COUNTY ROP,California,600089,†
AMADOR COUNTY UNIFIED,California,602450,5238
AMAGANSETT UNION FREE SCHOOL DISTRICT,New York,3602880,36871
AMANDA-CLEARCREEK LOCAL,Ohio,3904684,5788
AMANI PUBLIC CHARTER SCHOOL,New York,3601051,0
AMARILLO ISD,Texas,4808130,5858
AMBASSADOR ACADEMY,Arizona,400753,0
AMBASSADORS PREPARATORY ACADEMY,Texas,4800284,6673
AMBER CHARTER SCHOOL EAST HARLEM,New York,3600039,0
AMBER CHARTER SCHOOL KINGSBRIDGE,NEW YORK,3601149,0
AMBER-POCASSET,Oklahoma,4002910,3859
AMBOY CUSD 272,Illinois,1703690,6849
AMBRIDGE AREA SD,Pennsylvania,4202440,6887
AMELIA COUNTY PUBLIC SCHOOLS,Virginia,5100180,5832
AMELIA-NOTTOWAY VOCATIONAL-TECHNICAL CENTER,Virginia,5100013,†
AMERICAN ACADEMY OF INNOVATION,UTAH,4900186,4413
AMERICAN BASIC SCHOOLS LLC (79215),Arizona,400218,379
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ALTA VI (80995),Arizona,400619,2867
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. APACHE  (79883),Arizona,400357,3236
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. CRESTVI (79874),Arizona,400385,3354
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. DESERT  (79872),Arizona,400384,3603
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. ESTRELL (79873),Arizona,400352,2781
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. PEORIA  (79875),Arizona,400353,2912
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH P (80989),Arizona,400618,2720
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SOUTH R (88334),Arizona,400447,2854
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. SUN VAL (79877),Arizona,400354,3412
AMERICAN CHARTER SCHOOLS FOUNDATION D.B.A. WEST PH (79879),Arizona,400355,3053
AMERICAN DREAM CHARTER SCHOOL,NEW YORK,3601119,0
AMERICAN FALLS JOINT DISTRICT,Idaho,1600060,5232
