Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Current Expenditures - Salary (Z32) per Pupil (V33) [District Finance] 2016-17
SPECTRUM HIGH SCHOOL,Minnesota,2700276,5546
SPEED SEJA #802,Illinois,1700029,†
SPENCER COMM SCHOOL DISTRICT,Iowa,1926910,7106
SPENCER COUNTY,Kentucky,2105490,5285
SPENCER SCHOOL DISTRICT,Wisconsin,5514190,5191
SPENCER VALLEY ELEMENTARY,California,637680,235
SPENCER-E BROOKFIELD,Massachusetts,2500002,9200
SPENCER-OWEN COMMUNITY SCHOOLS,Indiana,1810950,4522
SPENCER-VAN ETTEN CENTRAL SCHOOL DISTRICT,New York,3627750,11299
SPENCERPORT CENTRAL SCHOOL DISTRICT,New York,3627780,11328
SPENCERVILLE LOCAL,Ohio,3904580,5295
SPERO ACADEMY,Minnesota,2700352,24742
SPERRY,Oklahoma,4028170,3767
SPICKARD R-II,Missouri,2928770,5500
SPIRIT LAKE COMM SCHOOL DISTRICT,Iowa,1927000,7284
SPIRO,Oklahoma,4028200,4029
SPLENDORA ISD,Texas,4841070,5906
SPOKANE INTERNATIONAL ACADEMY,WASHINGTON,5300337,5456
SPOKANE R-VII,Missouri,2928800,5731
SPOKANE SCHOOL DISTRICT,Washington,5308250,7601
SPOON RIVER VALLEY CUSD 4,Illinois,1736960,6522
SPOONER AREA SCHOOL DISTRICT,Wisconsin,5514220,6234
SPOTSWOOD PUBLIC SCHOOL DISTRICT,New Jersey,3415540,9334
SPOTSYLVANIA COUNTY PUBLIC SCHOOLS,Virginia,5103640,6200
SPRAGUE SCHOOL DISTRICT,Washington,5308280,14120
SPRAGUE SCHOOL DISTRICT,Connecticut,904260,9006
SPRAY SD 1,Oregon,4111640,10481
SPRECKELS UNION ELEMENTARY,California,637710,5076
SPRING BLUFF R-XV,Missouri,2912450,4458
SPRING BRANCH ISD,Texas,4841100,6364
SPRING COVE SD,Pennsylvania,4222530,5452
SPRING CREEK COLONY ELEM,Montana,3024690,7286
SPRING CREEK ELEM,Montana,3007950,†
SPRING CREEK ELEM,Montana,3003660,21000
SPRING CREEK ISD,Texas,4841130,7961
SPRING GARDEN CCSD 178,ILLINOIS,1701419,5420
SPRING GROVE AREA SD,Pennsylvania,4222590,7101
SPRING GROVE SCHOOL DISTRICT,Minnesota,2733300,6361
SPRING HILL,Kansas,2011850,4181
SPRING HILL ISD,Texas,4841190,5414
SPRING HILL SCHOOL DISTRICT,Arkansas,512630,4558
SPRING ISD,Texas,4841220,6515
SPRING LAKE BOROUGH,New Jersey,3415570,16405
SPRING LAKE CCSD 606,Illinois,1737020,6111
SPRING LAKE HEIGHTS SCHOOL DISTRICT,New Jersey,3415600,10075
SPRING LAKE PARK PUBLIC SCHOOLS,Minnesota,2733330,6090
SPRING LAKE PUBLIC SCHOOLS,Michigan,2632550,5140
SPRING VALLEY CCSD 99,Illinois,1737050,5373
SPRING VALLEY SCHOOL DISTRICT,Wisconsin,5514340,6033
SPRING-FORD AREA SD,Pennsylvania,4222560,7952
SPRINGBORO COMMUNITY CITY,Ohio,3905042,4909
SPRINGDALE ELEM,Montana,3024780,†
SPRINGDALE SCHOOL DISTRICT,Arkansas,512660,6030
SPRINGER,Oklahoma,4028350,5170
SPRINGER,New Mexico,3502490,9629
SPRINGFIELD,Massachusetts,2511130,9471
SPRINGFIELD CITY SCHOOL DISTRICT,Ohio,3904481,7253
SPRINGFIELD INTERNATIONAL CHARTER (DISTRICT),Massachusetts,2500028,5897
SPRINGFIELD LOCAL,Ohio,3904837,6005
SPRINGFIELD LOCAL,Ohio,3904822,6035
SPRINGFIELD LOCAL,Ohio,3905006,7122
SPRINGFIELD PLATTEVIEW COMMUNITY SCHOOLS,Nebraska,3175630,6763
SPRINGFIELD PREPARATORY AND FITNESS ACADEMY,Ohio,3900551,0
SPRINGFIELD PREPARATORY CHARTER SCHOOL (DISTRICT),MASSACHUSETTS,2500557,7160
SPRINGFIELD PUBLIC SCHOOL DISTRICT,Minnesota,2733390,6192
SPRINGFIELD PUBLIC SCHOOL DISTRICT,New Jersey,3415630,10149
SPRINGFIELD R-XII,Missouri,2928860,5991
SPRINGFIELD SCHOOL DISTRICT,Vermont,5007530,11085
SPRINGFIELD SCHOOL DISTRICT NO. RE-4,Colorado,806630,5649
SPRINGFIELD SD,Pennsylvania,4222600,7557
SPRINGFIELD SD 186,Illinois,1737080,7442
SPRINGFIELD SD 19,Oregon,4111670,5284
SPRINGFIELD SUPERVISORY DISTRICT,Vermont,5099956,†
SPRINGFIELD TOWNSHIP SCHOOL DISTRICT,New Jersey,3415660,13219
SPRINGFIELD TOWNSHIP SD,Pennsylvania,4222620,10293
SPRINGFIELD-CLARK COUNTY,Ohio,3905153,†
SPRINGHILL ELEM,Montana,3024810,6188
SPRINGLAKE-EARTH ISD,Texas,4841250,6831
SPRINGPORT PUBLIC SCHOOLS,Michigan,2632610,4726
SPRINGS UNION FREE SCHOOL DISTRICT,New York,3627900,15258
SPRINGS VALLEY COM SCHOOL CORP,Indiana,1810980,5084
SPRINGTOWN ISD,Texas,4841280,5664
SPRINGVILLE COMM SCHOOL DISTRICT,Iowa,1927060,5763
SPRINGVILLE UNION ELEMENTARY,California,637770,4886
SPRINGVILLE-GRIFFITH INSTITUTE CENTRAL SCHOOL DISTRICT,New York,3612990,11397
SPUR ISD,Texas,4800002,8211
SPURGER ISD,Texas,4841340,6491
ST ANNE CCSD 256,Illinois,1737120,6163
ST ANNE CHSD 302,Illinois,1737140,7447
ST ANSGAR COMM SCHOOL DISTRICT,Iowa,1925200,7456
ST ANTHONY SCHOOL,Texas,4800248,6901
ST BERNARD-ELMWOOD PLACE CITY,Ohio,3904471,7493
ST CHARLES CUSD 303,Illinois,1737170,7785
ST CLAIR COUNTY,Alabama,103062,4775
ST CLAIR ROE SPECIAL EDUCATION,Illinois,1700147,†
ST CLAIRSVILLE-RICHLAND CITY,Ohio,3904599,5081
ST DAVID UNIFIED DISTRICT (4173),Arizona,408020,5853
ST EDWARD PUBLIC SCHOOLS,Nebraska,3176980,9741
ST ELMO CUSD 202,Illinois,1737230,6400
ST FRANCIS COMM SCH,Kansas,2011880,6664
ST GEORGE CCSD 258,Illinois,1737320,4488
ST GEORGE PUBLIC SCHOOLS,MAINE,2314820,7627
ST HELENS SD 502,Oregon,4111720,5341
ST HENRY CONSOLIDATED LOCAL,Ohio,3904858,5359
ST IGNATIUS K-12 SCHOOLS,Montana,3006110,7145
ST JOHN 3,North Dakota,3817460,8456
ST JOHN-HUDSON,Kansas,2011910,6375
ST JOHNS UNIFIED DISTRICT (4153),Arizona,408080,5574
ST JOSEPH CCSD 169,Illinois,1737380,4813
ST JOSEPH OGDEN CHSD 305,Illinois,1737410,5514
ST LIBORY CONS SD 30,Illinois,1737440,4319
ST MARIES JOINT DISTRICT,Idaho,1603060,4920
ST MARY'S ACADEMY CHARTER SCHOOL,Texas,4800177,6431
ST MARYS CITY,Ohio,3904472,5842
ST MARYS HOME,Alabama,100193,†
ST PAUL CONSERVATORY PERFORMING ART,Minnesota,2700351,4577
ST PAUL PUBLIC SCHOOLS,Nebraska,3100085,6807
ST PAUL SD 45,Oregon,4111760,7069
ST REGIS K-12 SCHOOLS,Montana,3024930,7867
ST ROSE SD 14-15,Illinois,1737470,6563
ST THOMAS 43,North Dakota,3817520,16564
ST. ANTHONY-NEW BRIGHTON SCHOOLS,Minnesota,2733420,6697
ST. BERNARD PARISH,Louisiana,2201410,5365
ST. CHARLES COMMUNITY SCHOOLS,Michigan,2632640,4776
ST. CHARLES PARISH,Louisiana,2201440,9188
ST. CHARLES PUBLIC SCHOOL DISTRICT,Minnesota,2733450,6403
ST. CHARLES R-VI,Missouri,2928920,8426
ST. CLAIR COUNTY INTERVENTION ACADEMY,Michigan,2600316,0
ST. CLAIR COUNTY RESA,Michigan,2680940,†
ST. CLAIR PUBLIC SCHOOL DISTRICT,Minnesota,2733480,6262
ST. CLAIR R-XIII,Missouri,2929100,6105
ST. CLOUD PUBLIC SCHOOL DISTRICT,Minnesota,2733510,8989
ST. COLETTA SPECIAL EDUCATION PCS,District of Columbia,1100064,40665
ST. CROIX PREPARATORY ACADEMY,Minnesota,2700362,5061
ST. CROIX RIVER EDUCATION DISTRICT,Minnesota,2700015,†
ST. ELIZABETH R-IV,Missouri,2929130,5365
ST. FRANCIS AREA SCHOOLS,Minnesota,2733540,7791
ST. GEORGE ACADEMY,UTAH,4900188,†
ST. HELENA PARISH,Louisiana,2201470,5250
ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,New York,3600958,0
ST. HOSP. TRAINING CENTER PARSONS,Kansas,2000022,0
ST. IGNACE AREA SCHOOLS,Michigan,2600012,5161
ST. JAMES PARISH,Louisiana,2201500,8291
ST. JAMES PUBLIC SCHOOL DISTRICT,Minnesota,2733600,7372
ST. JAMES R-I,Missouri,2929250,5226
ST. JOHN SCHOOL DISTRICT,Washington,5308310,10658
ST. JOHN THE BAPTIST PARISH,Louisiana,2201530,6602
ST. JOHNS,Florida,1201740,4966
ST. JOHNS PUBLIC SCHOOLS,Michigan,2632820,4703
ST. JOSEPH,Missouri,2927060,6316
ST. JOSEPH COUNTY ISD,Michigan,2680960,†
ST. JOSEPH PUBLIC SCHOOLS,Michigan,2632850,4491
ST. LANDRY PARISH,Louisiana,2201560,5286
ST. LOUIS CITY,Missouri,2929280,6010
ST. LOUIS COLLEGE PREP,Missouri,2900600,7473
ST. LOUIS COUNTY SCHOOL DISTRICT,Minnesota,2700008,8135
ST. LOUIS LANG IMMERSION SCH,Missouri,2900586,5785
ST. LOUIS PARK PUBLIC SCHOOL DIST.,Minnesota,2733780,9124
ST. LOUIS PUBLIC SCHOOLS,Michigan,2632880,4549
ST. LUCIE,Florida,1201770,5114
ST. MARTIN PARISH,Louisiana,2201590,5471
ST. MARY PARISH,Louisiana,2201620,6156
ST. MARY'S COUNTY PUBLIC SCHOOLS,Maryland,2400600,7637
ST. MICHAEL-ALBERTVILLE SCHOOLS,Minnesota,2733790,5981
ST. PAUL CITY SCHOOL,Minnesota,2700142,7693
ST. PETER PUBLIC SCHOOL DISTRICT,Minnesota,2733870,6129
ST. TAMMANY PARISH,Louisiana,2201650,6651
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,Colorado,805370,5700
STAFFORD,Kansas,2011970,7192
STAFFORD COUNTY PUBLIC SCHOOLS,Virginia,5103660,6153
STAFFORD MSD,Texas,4841350,6032
STAFFORD SCHOOL DISTRICT,Connecticut,904290,11039
STAFFORD TOWNSHIP SCHOOL DISTRICT,New Jersey,3415690,10241
STAMBAUGH CHARTER ACADEMY,Ohio,3900467,0
STAMFORD ACADEMY DISTRICT,Connecticut,900031,12264
STAMFORD CENTRAL SCHOOL DISTRICT,New York,3628020,12559
STAMFORD CHARTER SCHOOL FOR EXCELLENCE DISTRICT,CONNECTICUT,900220,2673
STAMFORD ISD,Texas,4841400,9307
STAMFORD SCHOOL DISTRICT,Connecticut,904320,11518
STAMFORD SCHOOL DISTRICT,Vermont,5007680,4303
STANBERRY R-II,Missouri,2929340,5689
STANDARD ELEMENTARY,California,637890,5706
STANDISH-STERLING COMMUNITY SCHOOLS,Michigan,2632940,4792
STANFIELD ELEMENTARY DISTRICT (4451),Arizona,408130,5382
STANFIELD SD 61,Oregon,4111790,5395
STANFORD K-12 SCHOOLS,Montana,3024990,9076
STANHOPE SCHOOL DISTRICT,New Jersey,3415720,11319
STANISLAUS COUNTY OFFICE OF EDUCATION,California,691041,20393
STANISLAUS UNION ELEMENTARY,California,637950,5788
STANLEY 2,North Dakota,3817570,8436
STANLEY COUNTY SCHOOL DISTRICT 57-1,South Dakota,4624850,6970
STANLEY-BOYD AREA SCHOOL DISTRICT,Wisconsin,5514430,5610
STANLY COUNTY SCHOOLS,North Carolina,3704320,5391
STANNARD SCHOOL DISTRICT,Vermont,5007710,†
STANTON COMM SCHOOL DISTRICT,Iowa,1927240,6022
STANTON COMMUNITY SCHOOLS,Nebraska,3100041,8029
STANTON COUNTY,Kansas,2007860,6901
STANTON ISD,Texas,4841430,6543
STANTON TOWNSHIP PUBLIC SCHOOLS,Michigan,2632970,4177
STANWOOD-CAMANO SCHOOL DISTRICT,Washington,5308340,7328
STAPLES-MOTLEY SCHOOL DISTRICT,Minnesota,2733900,7226
STAPLETON PUBLIC SCHOOLS,Nebraska,3177100,8312
STAR ACADEMY OF TOLEDO,Ohio,3901298,3809
STAR CITY SCHOOL DISTRICT,Arkansas,500028,5288
STAR INTERNATIONAL ACADEMY,Michigan,2600228,0
STAR OF THE NORTH ACADEMY CHARTER S,Minnesota,2700390,4055
STAR SCHOOL DISTRICT NO. 054,Washington,5308370,12667
STARBUCK SCHOOL DISTRICT,Washington,5308400,13280
STARK COUNTY AREA,Ohio,3906202,†
STARK COUNTY CUSD 100,Illinois,1737490,6143
STARK COUNTY ESC,Ohio,3904982,†
STARK HIGH SCHOOL,Ohio,3900175,0
STARK SCHOOL DISTRICT,New Hampshire,3306330,4353
STARKSBORO SCHOOL DISTRICT,Vermont,5007740,6508
STARKVILLE- OKTIBBEHA CONS DIST,MISSISSIPPI,2800189,5699
STARKWEATHER 44,North Dakota,3817670,14077
STARMONT COMM SCHOOL DISTRICT,Iowa,1927270,6565
STARPOINT CENTRAL SCHOOL DISTRICT,New York,3628050,9345
STARR DETROIT ACADEMY,Michigan,2601004,0
STARSHINE ACADEMY (85807),Arizona,400416,4604
STARVED ROCK FOR VOC TECH ED,Illinois,1700283,†
STATE CHARTER SCHOOL INSTITUTE,Colorado,800020,4095
STATE CHARTER SCHOOLS- PROVOST ACADEMY GEORGIA,Georgia,1300231,1968
STATE COLLEGE AREA SD,Pennsylvania,4222770,9637
STATE FAIR COMMUNITY COLLEGE,Missouri,2900005,†
STATE OPERATIVE AGENCY,District of Columbia,1100078,†
STATE SCHOOLS- ATLANTA AREA SCHOOL FOR THE DEAF,Georgia,1300225,0
STATE SCHOOLS- GEORGIA ACADEMY FOR THE BLIND,Georgia,1300224,0
STATE SCHOOLS- GEORGIA SCHOOL FOR THE DEAF,Georgia,1300223,0
STATE SPECIALTY SCHOOLS I- CHEROKEE CHARTER ACADEMY,Georgia,1300230,4333
STATE SPECIALTY SCHOOLS I- DUBOIS INTEGRITY ACADEMY,GEORGIA,1300237,3909
STATE SPECIALTY SCHOOLS I- FOOTHILLS REGIONAL HIGH SCHOOL,GEORGIA,1300235,5291
STATE SPECIALTY SCHOOLS I- GEORGIA CONNECTIONS ACADEMY,Georgia,1300227,1695
STATE SPECIALTY SCHOOLS I- GEORGIA CYBER ACADEMY,GEORGIA,1300232,1743
STATE SPECIALTY SCHOOLS I- GEORGIA SCHOOL FOR INNOVATION AND,GEORGIA,1300238,2885
STATE SPECIALTY SCHOOLS I- INTERNATIONAL CHARTER SCH OF ATL,GEORGIA,1300234,3681
STATE SPECIALTY SCHOOLS I- IVY PREPARATORY ACADEMY- INC,Georgia,1300226,6125
STATE SPECIALTY SCHOOLS I- MOUNTAIN EDUCATION HIGH SCHOOL,Georgia,1300214,5571
STATE SPECIALTY SCHOOLS I- ODYSSEY CHARTER SCHOOL,Georgia,1300023,5719
STATE SPECIALTY SCHOOLS I- SCINTILLA CHARTER ACADEMY,GEORGIA,1300236,4294
STATE SPECIALTY SCHOOLS I- UTOPIAN ACADEMY FOR THE ARTS CHAR,GEORGIA,1300233,5245
STATE SPECIALTY SCHOOLS II- ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,1300221,3761
STATE SPECIALTY SCHOOLS II- BROOKHAVEN INNOVATION ACADEMY,GEORGIA,1300242,3839
STATE SPECIALTY SCHOOLS II- CIRRUS CHARTER ACADEMY,GEORGIA,1300239,4021
STATE SPECIALTY SCHOOLS II- COWETA CHARTER ACADEMY,Georgia,1300222,3878
STATE SPECIALTY SCHOOLS II- FULTON LEADERSHIP ACADEMY,Georgia,1300217,6015
STATE SPECIALTY SCHOOLS II- LIBERTY TECH CHARTER ACADEMY,GEORGIA,1300241,3730
STATE SPECIALTY SCHOOLS II- PATAULA CHARTER ACADEMY,Georgia,1300218,4924
STATE SPECIALTY SCHOOLS II- SOUTHWEST GEORGIA S.T.E.M. CHAR,GEORGIA,1300243,5276
STATE SPECIALTY SCHOOLS II- STATESBORO STEAM ACADEMY,Georgia,1300005,5635
STATE SPONSORED CHARTER SCHOOLS,Nevada,3200001,3024
STATE STREET ACADEMY,Michigan,2600264,0
STATESVILLE HOUSING AUTHORITY,North Carolina,3700159,†
STAUNTON CITY PUBLIC SCHOOLS,Virginia,5103690,7598
STAUNTON CUSD 6,Illinois,1737590,4535
STE. GENEVIEVE CO. R-II,Missouri,2929370,7488
STEAM ACADEMY OF DAYTON,Ohio,3901471,3632
STEAM ACADEMY OF WARREN,Ohio,3901434,5167
STEAM ACADEMY OF WARRENSVILLE HEIGHTS,Ohio,3901482,3276
STEAMBOAT SPRINGS SCHOOL DISTRICT NO. RE 2,Colorado,806660,6329
STEEL ACADEMY,OHIO,3901567,7944
STEEL CENTER FOR CAREER AND TECHNICAL EDUCATION,Pennsylvania,4280050,†
STEEL CITY ACADEMY,INDIANA,1800171,6053
STEEL VALLEY SD,Pennsylvania,4222790,9032
STEELEVILLE CUSD 138,Illinois,1737650,4830
STEELTON-HIGHSPIRE SD,Pennsylvania,4222800,5098
STEELVILLE R-III,Missouri,2929430,4726
STEGER SD 194,Illinois,1737680,6383
STEHEKIN SCHOOL DISTRICT,Washington,5308430,19167
STEILACOOM HIST. SCHOOL DISTRICT,Washington,5308460,6087
STEM PARTNERSHIP SCHOOL,ILLINOIS,1701415,†
STEP ACADEMY,Minnesota,2700367,4982
STEP CHARTER SCHOOL,Texas,4800275,5909
STEP UP SCHOOLS INC. (4313),Arizona,400040,5457
STEPHEN F AUSTIN STATE UNIVERSITY CHARTER SCHOOL,Texas,4801395,4118
STEPHEN-ARGYLE CENTRAL SCHOOLS,Minnesota,2700127,8770
STEPHENS COUNTY,Georgia,1304560,5492
STEPHENSON AREA PUBLIC SCHOOLS,Michigan,2633000,4736
STEPHENVILLE ISD,Texas,4841520,5554
STEPPING STONES ACADEMY (10966),Arizona,400187,3657
STEPSTONE ACADEMY,Ohio,3901498,6185
STEPTOE SCHOOL DISTRICT,Washington,5308490,9209
STERLING,Kansas,2012030,6707
STERLING,Oklahoma,4028590,4163
STERLING 35,North Dakota,3817760,11067
STERLING CITY ISD,Texas,4841550,7724
STERLING CUSD 5,Illinois,1742310,4812
STERLING MONTESSORI ACADEMY,North Carolina,3700046,5040
STERLING PUBLIC SCHOOLS,Nebraska,3177190,8908
STERLING REGIONAL SCHOOL DISTRICT,New Jersey,3402880,15480
STERLING SCHOOL DISTRICT,Connecticut,904350,8634
STEUBENVILLE CITY,Ohio,3904482,5480
STEVENS POINT AREA PUBLIC SCHOOL DISTRICT,Wisconsin,5514490,6316
STEVENSON-CARSON SCHOOL DISTRICT,Washington,5308520,6149
STEVENSVILLE ELEM,Montana,3025020,4975
STEVENSVILLE H S,Montana,3025050,5888
STEWARD ESD 220,Illinois,1737800,9050
STEWARDSON-STRASBURG CUD 5A,Illinois,1737830,5301
STEWART COUNTY,Tennessee,4703960,5328
STEWART COUNTY,Georgia,1304590,8700
STEWART CREEK HIGH SCHOOL,North Carolina,3700374,3987
STEWARTSTOWN SCHOOL DISTRICT,New Hampshire,3306360,6776
STEWARTSVILLE C-2,Missouri,2929490,6169
STEWARTVILLE PUBLIC SCHOOL DISTRICT,Minnesota,2738160,5599
STIDHAM,Oklahoma,4028620,5133
STIGLER,Oklahoma,4028650,4213
STILLWATER,Montana,3000077,†
STILLWATER,Oklahoma,4028680,4378
STILLWATER AREA PUBLIC SCHOOLS,Minnesota,2738190,6698
STILLWATER CENTRAL SCHOOL DISTRICT,New York,3628110,10415
STILLWATER TOWNSHIP SCHOOL DISTRICT,New Jersey,3415750,13219
STILLWATER/SWT GRASS COOP,Montana,3000078,†
STILWELL,Oklahoma,4028710,5324
STO-ROX SD,Pennsylvania,4222830,6441
STOCKBRIDGE COMMUNITY SCHOOLS,Michigan,2633030,5017
STOCKBRIDGE SCHOOL DISTRICT,Vermont,5007770,5078
STOCKBRIDGE SCHOOL DISTRICT,Wisconsin,5514520,6962
STOCKBRIDGE VALLEY CENTRAL SCHOOL DISTRICT,New York,3628140,11482
STOCKDALE ISD,Texas,4841610,6970
STOCKTON,Kansas,2012060,5212
STOCKTON CUSD 206,Illinois,1737980,6340
STOCKTON R-I,Missouri,2929520,5589
STOCKTON UNIFIED,California,638010,6121
STODDARD SCHOOL DISTRICT,New Hampshire,3306390,3914
STOKES COUNTY SCHOOLS,North Carolina,3704380,5822
STONE BANK SCHOOL DISTRICT,Wisconsin,5509390,6780
STONE CO SCHOOL DIST,Mississippi,2804170,5252
STONE CORRAL ELEMENTARY,California,638040,5449
STONE HARBOR SCHOOL DISTRICT,New Jersey,3415810,13800
STONE VALLEY COMMUNITY CS,Pennsylvania,4200844,6179
STONEBRIDGE WORLD SCHOOL,Minnesota,2700289,8303
STONEBROOK MONTESSORI,OHIO,3901571,6425
STONEHAM,Massachusetts,2511220,9480
STONEWALL,Oklahoma,4028800,4949
STONINGTON SCHOOL DISTRICT,Connecticut,904380,11251
STONY CREEK JOINT UNIFIED,California,638070,11268
STOREFRONT ACADEMY CHARTER SCHOOL,NEW YORK,3601137,0
STOREY,Nevada,3200450,7908
STORM LAKE COMM SCHOOL DISTRICT,Iowa,1927390,6792
STOUGHTON,Massachusetts,2511250,10185
STOUGHTON AREA SCHOOL DISTRICT,Wisconsin,5514550,6876
STOUTLAND R-II,Missouri,2929580,5989
STOVALL SPED COMPLEX ADMINISTRATION,Mississippi,2801193,0
STOW CREEK TOWNSHIP SCHOOL DISTRICT,New Jersey,3415840,8772
STOW-MUNROE FALLS CITY SCHOOL DISTRICT,Ohio,3904483,6977
STOWE TOWN SCHOOL DISTRICT,Vermont,5007800,7340
STRAFFORD R-VI,Missouri,2929640,5677
STRAFFORD SCHOOL DISTRICT,New Hampshire,3306420,5042
STRAFFORD SCHOOL DISTRICT,Vermont,5007830,5181
STRAIGHT,Oklahoma,4028920,9216
STRAIN-JAPAN R-XVI,Missouri,2912480,4265
STRASBURG 15,North Dakota,3800016,9077
STRASBURG C-3,Missouri,2929670,4278
STRASBURG SCHOOL DISTRICT 31J,Colorado,806750,4759
STRASBURG-FRANKLIN LOCAL,Ohio,3905029,5219
STRATFORD,Oklahoma,4028980,4021
STRATFORD COMM SCHOOL DISTRICT,Iowa,1927480,6596
STRATFORD ISD,Texas,4841670,7641
STRATFORD SCHOOL DISTRICT,New Hampshire,3306450,9175
STRATFORD SCHOOL DISTRICT,Connecticut,904440,10405
STRATFORD SCHOOL DISTRICT,New Jersey,3415870,9509
STRATFORD SCHOOL DISTRICT,Wisconsin,5514580,5150
STRATHAM SCHOOL DISTRICT,New Hampshire,3306480,10968
STRATHMORE UNION ELEMENTARY,California,638130,6078
STRATTON SCHOOL DISTRICT,Vermont,5007860,†
STRAWN ISD,Texas,4841700,6311
STREATOR ESD 44,Illinois,1700112,5424
STREATOR TWP HSD 40,Illinois,1738100,7054
STREETSBORO CITY,Ohio,3904923,6630
STRENGTHBUILDING PARTNERS (91992),ARIZONA,400907,6013
STRIDE ACADEMY,Minnesota,2700252,5728
STRINGTOWN,Oklahoma,4029010,4909
STRONG FOUNDATIONS CHARTER SCHOOL,New Hampshire,3300042,†
STRONG-HUTTIG SCHOOL DISTRICT,Arkansas,512930,6975
STRONGSVILLE CITY,Ohio,3904484,7644
STROTHER,Oklahoma,4029040,3884
STROUD,Oklahoma,4029070,5181
STROUDSBURG AREA SD,Pennsylvania,4222860,8386
STRUTHERS CITY,Ohio,3904485,6249
STRYKER LOCAL,Ohio,3905065,7063
STUART,Oklahoma,4029100,4607
STUART PUBLIC SCHOOLS,Nebraska,3100082,8235
STURBRIDGE,Massachusetts,2511310,9680
STURGEON BAY SCHOOL DISTRICT,Wisconsin,5514610,7745
STURGEON R-V,Missouri,2929700,6268
STURGIS CHARTER PUBLIC (DISTRICT),Massachusetts,2500058,10056
STURGIS PUBLIC SCHOOLS,Michigan,2633090,4836
STUTTGART SCHOOL DISTRICT,Arkansas,512960,5684
SUBLETTE,Kansas,2012090,6896
SUBLETTE COUNTY SCHOOL DISTRICT #1,Wyoming,5604860,9723
SUBLETTE COUNTY SCHOOL DISTRICT #9,Wyoming,5601260,11843
SUCCESS ACADEMY,Utah,4900037,2633
SUCCESS ACADEMY,MINNESOTA,2700404,5578
SUCCESS ACADEMY CHARTER SCHOOL - BED STUY 1,New York,3601054,0
SUCCESS ACADEMY CHARTER SCHOOL - BENSONHURST,NEW YORK,3601122,0
SUCCESS ACADEMY CHARTER SCHOOL - BERGEN BEACH,NEW YORK,3601123,0
SUCCESS ACADEMY CHARTER SCHOOL - BRONX 4,NEW YORK,3601120,0
SUCCESS ACADEMY CHARTER SCHOOL - ROSEDALE,NEW YORK,3601116,0
SUCCESS ACADEMY CHARTER SCHOOL - SPRINGFIELD GARDENS,NEW YORK,3601118,0
SUCCESS ACADEMY CHARTER SCHOOL - WASHINGTON HEIGHTS,NEW YORK,3601110,0
SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 2,New York,3601063,0
SUCCESS ACADEMY CHARTER SCHOOL-BED STUY 3,NEW YORK,3601140,0
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 1,New York,3601011,0
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 2,New York,3601012,0
SUCCESS ACADEMY CHARTER SCHOOL-BRONX 3,New York,3601096,0
SUCCESS ACADEMY CHARTER SCHOOL-BUSHWICK,NEW YORK,3601146,0
SUCCESS ACADEMY CHARTER SCHOOL-COBBLE HILL,New York,3601060,0
SUCCESS ACADEMY CHARTER SCHOOL-CROWN HEIGHTS,New York,3601095,0
SUCCESS ACADEMY CHARTER SCHOOL-FAR ROCKAWAY,NEW YORK,3601151,0
SUCCESS ACADEMY CHARTER SCHOOL-FLATBUSH,NEW YORK,3601148,0
SUCCESS ACADEMY CHARTER SCHOOL-FORT GREENE,New York,3601086,0
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 1,New York,3600169,0
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 2,New York,3600954,0
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 3,New York,3600962,0
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 4,New York,3600953,0
SUCCESS ACADEMY CHARTER SCHOOL-HARLEM 5,New York,3601009,0
SUCCESS ACADEMY CHARTER SCHOOL-HELL'S KITCHEN,New York,3601099,0
SUCCESS ACADEMY CHARTER SCHOOL-PROSPECT HEIGHTS,New York,3601089,0
SUCCESS ACADEMY CHARTER SCHOOL-SOUTH JAMAICA,NEW YORK,3601141,0
SUCCESS ACADEMY CHARTER SCHOOL-UNION SQUARE,New York,3601083,0
SUCCESS ACADEMY CHARTER SCHOOL-UPPER WEST,New York,3601039,0
SUCCESS ACADEMY CHARTER SCHOOL-WILLIAMSBURG,New York,3601062,0
SUCCESS ACADEMY PRIMARY SCHOOL,INDIANA,1800161,4646
SUCCESS INSTITUTE CHARTER SCHOOL,North Carolina,3700106,3904
SUCCESS MILE ACADEMY,Michigan,2601054,4753
SUCCESS PREPARATORY ACADEMY,LOUISIANA,2200187,0
SUCCESS R-VI,Missouri,2929730,4356
SUCCESS SCHOOL (79453),Arizona,400326,3903
SUCCESS VIRTUAL LEARNING CENTERS OF MICHIGAN,MICHIGAN,2601104,†
SUDAN ISD,Texas,4841760,7132
SUDBURY,Massachusetts,2511340,10652
SUFFERN CENTRAL SCHOOL DISTRICT,New York,3628320,16083
SUFFIELD SCHOOL DISTRICT,Connecticut,904470,10623
